Name,Image_Path,Mask_Path
benign (1).png,benign/benign (1).png,benign/benign (1)_mask.png
benign (10).png,benign/benign (10).png,benign/benign (10)_mask.png
benign (100).png,benign/benign (100).png,benign/benign (100)_mask.png
benign (101).png,benign/benign (101).png,benign/benign (101)_mask.png
benign (102).png,benign/benign (102).png,benign/benign (102)_mask.png
benign (103).png,benign/benign (103).png,benign/benign (103)_mask.png
benign (104).png,benign/benign (104).png,benign/benign (104)_mask.png
benign (105).png,benign/benign (105).png,benign/benign (105)_mask.png
benign (106).png,benign/benign (106).png,benign/benign (106)_mask.png
benign (107).png,benign/benign (107).png,benign/benign (107)_mask.png
benign (108).png,benign/benign (108).png,benign/benign (108)_mask.png
benign (109).png,benign/benign (109).png,benign/benign (109)_mask.png
benign (11).png,benign/benign (11).png,benign/benign (11)_mask.png
benign (110).png,benign/benign (110).png,benign/benign (110)_mask.png
benign (111).png,benign/benign (111).png,benign/benign (111)_mask.png
benign (112).png,benign/benign (112).png,benign/benign (112)_mask.png
benign (113).png,benign/benign (113).png,benign/benign (113)_mask.png
benign (114).png,benign/benign (114).png,benign/benign (114)_mask.png
benign (115).png,benign/benign (115).png,benign/benign (115)_mask.png
benign (116).png,benign/benign (116).png,benign/benign (116)_mask.png
benign (117).png,benign/benign (117).png,benign/benign (117)_mask.png
benign (118).png,benign/benign (118).png,benign/benign (118)_mask.png
benign (119).png,benign/benign (119).png,benign/benign (119)_mask.png
benign (12).png,benign/benign (12).png,benign/benign (12)_mask.png
benign (120).png,benign/benign (120).png,benign/benign (120)_mask.png
benign (121).png,benign/benign (121).png,benign/benign (121)_mask.png
benign (122).png,benign/benign (122).png,benign/benign (122)_mask.png
benign (123).png,benign/benign (123).png,benign/benign (123)_mask.png
benign (124).png,benign/benign (124).png,benign/benign (124)_mask.png
benign (125).png,benign/benign (125).png,benign/benign (125)_mask.png
benign (126).png,benign/benign (126).png,benign/benign (126)_mask.png
benign (127).png,benign/benign (127).png,benign/benign (127)_mask.png
benign (128).png,benign/benign (128).png,benign/benign (128)_mask.png
benign (129).png,benign/benign (129).png,benign/benign (129)_mask.png
benign (13).png,benign/benign (13).png,benign/benign (13)_mask.png
benign (130).png,benign/benign (130).png,benign/benign (130)_mask.png
benign (131).png,benign/benign (131).png,benign/benign (131)_mask.png
benign (132).png,benign/benign (132).png,benign/benign (132)_mask.png
benign (133).png,benign/benign (133).png,benign/benign (133)_mask.png
benign (134).png,benign/benign (134).png,benign/benign (134)_mask.png
benign (135).png,benign/benign (135).png,benign/benign (135)_mask.png
benign (136).png,benign/benign (136).png,benign/benign (136)_mask.png
benign (137).png,benign/benign (137).png,benign/benign (137)_mask.png
benign (138).png,benign/benign (138).png,benign/benign (138)_mask.png
benign (139).png,benign/benign (139).png,benign/benign (139)_mask.png
benign (14).png,benign/benign (14).png,benign/benign (14)_mask.png
benign (140).png,benign/benign (140).png,benign/benign (140)_mask.png
benign (141).png,benign/benign (141).png,benign/benign (141)_mask.png
benign (142).png,benign/benign (142).png,benign/benign (142)_mask.png
benign (143).png,benign/benign (143).png,benign/benign (143)_mask.png
benign (144).png,benign/benign (144).png,benign/benign (144)_mask.png
benign (145).png,benign/benign (145).png,benign/benign (145)_mask.png
