Name,Image_Path,Mask_Path
malignant (1).png,malignant/malignant (1).png,malignant/malignant (1)_mask.png
malignant (10).png,malignant/malignant (10).png,malignant/malignant (10)_mask.png
malignant (100).png,malignant/malignant (100).png,malignant/malignant (100)_mask.png
malignant (101).png,malignant/malignant (101).png,malignant/malignant (101)_mask.png
malignant (102).png,malignant/malignant (102).png,malignant/malignant (102)_mask.png
malignant (103).png,malignant/malignant (103).png,malignant/malignant (103)_mask.png
malignant (104).png,malignant/malignant (104).png,malignant/malignant (104)_mask.png
malignant (105).png,malignant/malignant (105).png,malignant/malignant (105)_mask.png
malignant (106).png,malignant/malignant (106).png,malignant/malignant (106)_mask.png
malignant (107).png,malignant/malignant (107).png,malignant/malignant (107)_mask.png
malignant (108).png,malignant/malignant (108).png,malignant/malignant (108)_mask.png
malignant (109).png,malignant/malignant (109).png,malignant/malignant (109)_mask.png
malignant (11).png,malignant/malignant (11).png,malignant/malignant (11)_mask.png
malignant (110).png,malignant/malignant (110).png,malignant/malignant (110)_mask.png
malignant (111).png,malignant/malignant (111).png,malignant/malignant (111)_mask.png
malignant (112).png,malignant/malignant (112).png,malignant/malignant (112)_mask.png
malignant (113).png,malignant/malignant (113).png,malignant/malignant (113)_mask.png
malignant (114).png,malignant/malignant (114).png,malignant/malignant (114)_mask.png
malignant (115).png,malignant/malignant (115).png,malignant/malignant (115)_mask.png
malignant (116).png,malignant/malignant (116).png,malignant/malignant (116)_mask.png
malignant (117).png,malignant/malignant (117).png,malignant/malignant (117)_mask.png
malignant (118).png,malignant/malignant (118).png,malignant/malignant (118)_mask.png
malignant (119).png,malignant/malignant (119).png,malignant/malignant (119)_mask.png
malignant (12).png,malignant/malignant (12).png,malignant/malignant (12)_mask.png
malignant (120).png,malignant/malignant (120).png,malignant/malignant (120)_mask.png
malignant (121).png,malignant/malignant (121).png,malignant/malignant (121)_mask.png
malignant (122).png,malignant/malignant (122).png,malignant/malignant (122)_mask.png
malignant (123).png,malignant/malignant (123).png,malignant/malignant (123)_mask.png
malignant (124).png,malignant/malignant (124).png,malignant/malignant (124)_mask.png
malignant (125).png,malignant/malignant (125).png,malignant/malignant (125)_mask.png
malignant (126).png,malignant/malignant (126).png,malignant/malignant (126)_mask.png
malignant (127).png,malignant/malignant (127).png,malignant/malignant (127)_mask.png
malignant (128).png,malignant/malignant (128).png,malignant/malignant (128)_mask.png
malignant (129).png,malignant/malignant (129).png,malignant/malignant (129)_mask.png
malignant (13).png,malignant/malignant (13).png,malignant/malignant (13)_mask.png
malignant (130).png,malignant/malignant (130).png,malignant/malignant (130)_mask.png
malignant (131).png,malignant/malignant (131).png,malignant/malignant (131)_mask.png
malignant (132).png,malignant/malignant (132).png,malignant/malignant (132)_mask.png
